#{"t_start": 1563633476.40666, "env_id": "CarRacing-v1"}
r,l,t
-1301.766667,166,803.469408
2438.44,562,808.137395
2761.604444,267,810.404358
3371.526667,324,813.358882
3149.34,169,814.658298
2492.266667,631,820.086884
1871.34,397,823.45053
1033.184444,989,832.189718
3477.873333,1000,840.773828
3839.44,1000,849.373243
3141.806667,124,850.456389
3340.806667,103,850.995945
3544.506667,115,852.017174
3543.206667,107,853.008491
3074.406667,100,853.950048
2729.993333,107,854.930353
3414.971111,96,855.869921
3144.173333,119,856.928798
3345.706667,123,857.710737
2993.333333,98,858.659252
3537.773333,85,859.525034
3139.373333,108,860.533302
3277.504444,101,861.543853
3170.36,94,862.034506
3137.64,97,862.975976
3546.606667,119,864.025241
2971.76,126,865.11241
3540.24,105,866.115654
3374.793333,135,867.258636
3332.684444,113,868.27623
3317.251111,124,869.348406
3136.873333,94,869.859081
3224.64,112,870.901348
3142.64,121,872.002368
3542.94,114,873.055731
3541.473333,99,874.01816
2944.04,132,875.145106
2643.406667,100,876.123487
3552.273333,162,877.398124
3110.851111,110,878.428329
3539.673333,96,879.371896
3549.806667,144,880.56078
2428.94,177,881.933074
3427.593333,365,885.239197
3080.006667,751,892.053185
3592.04,306,894.576435
2873.544444,115,895.62066
3139.306667,100,896.605026
3136.473333,86,897.507659
3049.366667,98,898.015291
2917.293333,94,898.94114
3142.14,104,899.923514
3541.773333,101,900.885018
2937.573333,92,901.379754
2938.14,98,902.318203
3537.673333,85,903.195819
3485.373333,93,904.135433
2891.684444,90,904.605104
3138.706667,92,905.505731
2894.74,103,906.476103
2929.193333,109,907.476501
3538.006667,88,907.947247
2869.026667,96,908.888687
3137.073333,95,909.805237
3145.273333,95,910.740736
3538.44,88,911.196725
2737.506667,95,912.182091
3192.251111,115,913.197487
3544.506667,119,914.237828
3497.773333,150,915.44471
3172.511111,125,916.530951
2750.44,157,917.929219
3545.54,133,919.034225
2874.211111,123,920.143151
2702.3,368,923.359672
3068.693333,99,924.310892
2474.64,629,929.777584
2878.733333,199,931.234648
-1700.433333,148,932.439442
2268.993333,473,936.588171
2955.793333,224,938.627677
2897.54,712,944.508848
3390.773333,259,946.718484
2718.017778,333,949.896775
3273.417778,200,951.793412
3073.944444,119,952.838654
3541.806667,99,953.348324
2734.551111,256,955.571642
3078.96,148,956.782991
3372.36,154,958.431677
2154.404444,348,961.185313
2389.117778,132,962.356434
3141.74,115,963.389617
3340.073333,95,964.314725
3341.14,95,965.254213
2918.56,101,966.233591
3160.94,240,967.967986
3104.884444,109,968.976224
2922.366667,116,970.038384
3192.517778,111,971.076609
2990.14,306,973.563759
3389.726667,197,975.430836
3461.151111,138,976.591873
3430.673333,199,978.659284
3546.873333,114,979.702461
3136.206667,89,980.163229
1853.573333,561,985.27305
3180.84,242,987.369498
3509.673333,179,988.71607
3572.76,117,989.768336
3542.94,128,990.851593
3543.973333,115,991.872862
2948.126667,190,993.296012
-1264.466667,281,995.59051
3540.406667,108,996.571137
3147.173333,144,997.741998
3545.14,128,998.867731
3142.273333,120,999.926999
3545.673333,124,1001.024138
3213.337778,95,1001.948801
3154.64,177,1003.311889
3542.173333,110,1004.312722
3561.273333,189,1006.182034
3356.173333,195,1007.808627
3543.673333,119,1008.896792
2809.306667,469,1013.047826
3513.117778,1000,1021.659285
-4733.566667,1000,1029.949931
-802.5,1000,1038.904813
3483.993333,1000,1047.766767
3152.173333,421,1051.385915
4427.94,1000,1060.243723
4624.073333,1000,1069.17317
4617.673333,1000,1077.85406
4301.54,1000,1086.658337
4622.406667,1000,1094.922107
2915.54,1000,1103.77448
3366.206667,180,1105.591774
166.106667,1000,1114.249332
3553.14,1000,1122.463408
2327.951111,433,1126.477917
2977.693333,157,1127.88413
3163.926667,89,1128.826632
2562.617778,118,1129.928726
3338.24,92,1130.399395
3294.611111,103,1131.374826
3539.806667,91,1132.282361
3168.56,84,1132.726177
3540.14,91,1133.62592
2494.284444,118,1134.676151
3539.94,92,1135.599605
2653.184444,122,1136.666864
3537.14,82,1137.105699
2843.84,92,1138.022269
-1511.333333,92,1138.939841
3139.806667,106,1139.960073
3539.506667,89,1140.434966
3501.937778,87,1141.309256
3120.1,92,1142.208843
